OBJECTID,CMPTRL_CNTY_NBR,CNTY_NM,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,GID,Shape__Area,Shape__Length,Median_household_income,HS_graduation_rate,Physically_inactive,Smoking,Air pollution particulate matter (average daily PM2.5),Overcrowding, Uninsured,Mental_health_provider_ratio,Self_rated_health
156,1,Anderson,1,48001,1,10,136,3878932779.20313,438875.970955852,48500,96,27,22,8.5,4,20,2310,76
102,2,Andrews,2,48003,2,6,155,5458017747,304945.97289676,74900,95,27,17,6.3,6,21,6240,77
125,3,Angelina,3,48005,3,11,105,3073952930.95313,408033.956072274,51800,94,33,20,9,5,21,730,75
83,4,Aransas,4,48007,4,16,15,1535459350.15234,215680.292895405,53100,93,34,20,7.4,2,24,1240,77
223,5,Archer,5,48009,5,3,208,3465512592.30078,235507.130341855,63700,96,18,18,7.2,2,16,,83
242,6,Armstrong,6,48011,6,4,236,3525463004.14063,237696.279305325,64400,,21,17,5.8,1,17,,84
96,7,Atascosa,7,48013,7,15,29,4129397560.68359,269428.532598632,57300,95,36,17,7.8,7,20,2560,75
18,8,Austin,8,48015,8,13,52,2268677800.57813,293091.922592675,68300,94,27,17,8.5,6,20,2500,81
202,9,Bailey,9,48017,9,5,225,3131541692.42188,226910.723601132,46200,98,19,18,5.9,10,29,3500,74
11,10,Bandera,10,48019,10,15,45,2750063709.11328,245312.460821654,59600,88,27,18,7.3,2,22,1160,81
28,11,Bastrop,11,48021,11,14,62,3108788221.23047,220230.495024495,62600,94,27,18,8.1,6,22,1740,78
220,12,Baylor,12,48023,12,3,205,3373170729.94922,232360.163324786,41500,,25,19,6.5,0,17,,82
87,13,Bee,13,48025,13,16,20,2958633941.37891,264032.019390963,44200,91,19,20,7.7,6,18,2170,71
60,14,Bell,14,48027,14,9,94,3846119961.36719,257507.083335885,54800,74,24,18,8.3,3,15,440,80
7,15,Bexar,15,48029,15,15,41,4309667318.83594,326284.997303669,59000,90,21,15,7.9,4,18,530,78
31,16,Blanco,16,48031,16,14,65,2486558874.20313,204324.336861423,68400,98,24,17,7.3,4,22,11930,83
115,17,Borden,17,48033,17,8,168,3327116922.20703,230909.937871873,71900,,23,14,6,0,11,560,86
158,18,Bosque,18,48035,18,9,138,3613122996.38281,304758.592265425,55200,91,28,20,7.9,4,23,4670,80
216,19,Bowie,19,48037,19,19,201,3441545711.51172,496839.725800574,51200,95,36,20,9.2,3,15,950,79
3,20,Brazoria,20,48039,20,12,37,5068514501.23047,362185.783289743,83700,94,32,15,9.7,4,16,1400,82
48,21,Brazos,21,48041,21,17,82,2073141887.42578,337649.42276198,54500,87,19,16,8.4,4,17,1020,81
40,22,Brewster,22,48043,22,24,74,21376576833.7266,722813.445643246,48600,94,22,15,5.7,3,20,770,80
236,23,Briscoe,23,48045,23,25,230,3451658660.47266,234916.377073573,44300,,27,19,5.9,4,27,,77
73,24,Brooks,24,48047,24,21,5,3092756825.54688,242044.027413141,31400,93,23,19,7.3,5,18,7090,64
146,25,Brown,25,48049,25,23,126,3439692397.67969,255511.925097559,56000,95,31,19,6.8,1,18,550,79
42,26,Burleson,26,48051,26,17,76,2372143024.28516,294023.681651858,61700,93,27,20,8,5,20,18440,79
49,27,Burnet,27,48053,27,14,83,3592346440.1875,296848.016393974,62800,94,25,18,7.4,2,23,1550,81
16,28,Caldwell,28,48055,28,14,50,1887989473.16406,221415.411962371,55300,91,23,19,8,6,22,1280,74
88,29,Calhoun,29,48057,29,13,21,3120648199.83594,308449.741312094,55900,93,22,18,7.5,9,19,5320,76
165,30,Callahan,30,48059,30,8,145,3274602487.32813,228878.700908781,50800,94,27,20,6.5,1,19,6970,80
69,31,Cameron,31,48061,31,21,1,3771078713.13672,392027.632293893,40900,92,25,18,9.5,11,30,1640,66
178,32,Camp,32,48063,32,19,181,750370974.195313,168997.700632953,47100,98,24,20,8.7,4,21,2180,76
226,33,Carson,33,48065,33,4,241,3611034699.67188,240247.551931727,69800,,22,16,6,1,15,,85
249,34,Cass,34,48067,34,19,254,3550547593.47656,332615.49490665,44500,97,35,22,9.1,3,17,3750,78
238,35,Castro,35,48069,35,5,232,3440259261.78125,234806.751379667,51700,95,21,18,6.3,5,29,7530,73
13,36,Chambers,36,48071,36,20,47,2992380039.01172,301610.311378002,93400,98,25,18,8.5,2,15,3990,81
159,37,Cherokee,37,48073,37,10,139,3823144030.35938,436207.091397585,46600,91,35,21,8.8,7,22,1070,75
234,38,Childress,38,48075,38,25,228,2730528735.32031,210914.29983474,44100,,18,21,6.2,0,21,1040,76
194,39,Clay,39,48077,39,3,217,4173646442.27734,296319.747185066,60000,93,31,19,7.4,2,19,,82
187,40,Cochran,40,48079,40,5,210,2903312075.51953,216345.912986477,43700,,19,21,5.9,8,27,,68
147,41,Coke,41,48081,41,7,127,3345365177.16016,233140.178887667,48400,,24,19,6.2,1,17,,79
144,42,Coleman,42,48083,42,23,124,4607115884.44141,328311.188251728,44800,90,25,21,6.5,1,24,8180,78
207,43,Collin,43,48085,43,18,191,3286101862.01953,233365.024455084,96800,96,20,12,9.3,2,13,810,86
240,44,Collingsworth,44,48087,44,25,234,3553308495.81641,238378.308772785,40300,,19,20,6,4,30,2920,76
12,45,Colorado,45,48089,45,13,46,3349390119.96875,281337.182681037,55600,87,30,19,7.9,4,22,5370,78
14,46,Comal,46,48091,46,15,48,1985145386.48828,230074.942134292,88000,95,22,15,8.3,3,15,770,84
160,47,Comanche,47,48093,47,23,140,3437003044.99219,251107.406645095,54100,95,25,19,7,4,25,2270,78
124,48,Concho,48,48095,48,7,104,3535930164.5,260821.083189544,43300,,21,19,6.2,0,20,2730,72
189,49,Cooke,49,48097,49,3,212,3354982079.84766,353003.586502722,61200,94,21,19,8.5,3,20,1650,81
133,50,Coryell,50,48099,50,9,113,3767308802.26563,245777.332760947,23100,93,24,20,7.8,3,15,1950,79
197,51,Cottle,51,48101,51,25,220,3411354065.34375,247817.077703927,40400,,22,23,6,2,25,,72
129,52,Crane,52,48103,52,6,109,2802772238.11328,292663.215385257,68600,93,18,16,6.2,5,20,,77
52,53,Crockett,53,48105,53,7,86,9874638657.20313,596800.362266953,54200,,24,16,6.2,6,22,,76
221,54,Crosby,54,48107,54,5,206,3374743326.51953,232360.09463063,38900,,20,20,6.3,6,20,,71
148,55,Culberson,55,48109,55,24,128,13615721619.293,499818.20318889,44500,,21,22,5.5,5,25,,64
248,56,Dallam,56,48111,56,4,253,6010911071.34375,318585.838227647,55800,95,24,19,5.4,4,30,2430,76
225,57,Dallas,57,48113,57,18,177,3336760771.02344,230873.433601325,61800,84,23,16,8.8,7,24,640,77
117,58,Dawson,58,48115,58,5,170,3311651601.64453,230267.594497992,48200,96,24,22,6.1,2,24,12730,69
99,62,De Witt,62,48123,62,13,32,3097944657.27734,243904.388843413,46200,83,18,17,6.1,4,26,18550,73
244,59,Deaf Smith,59,48117,59,4,238,5790766625.98047,313127.01976236,51300,93,21,21,8.2,1,17,1780,78
215,60,Delta,60,48119,60,1,200,1035238887.05859,282718.576509442,90900,88,21,13,9.4,2,13,840,86
208,61,Denton,61,48121,61,18,192,3530307973.53125,237983.893785748,52500,96,32,20,7.7,6,18,6720,76
219,63,Dickens,63,48125,63,25,204,3395903567.90234,233108.800290119,42000,,19,20,5.9,3,22,2210,76
254,64,Dimmit,64,48127,64,22,17,4431714903.51953,271794.754471756,40300,93,25,19,6.9,9,21,3370,64
241,65,Donley,65,48129,65,25,235,3606827341.10156,240204.6236756,41100,,21,20,5.9,3,20,,80
79,66,Duval,66,48131,67,22,11,5953917699.44336,331773.34151844,37100,91,22,19,7.2,7,20,11160,66
167,67,Eastland,67,48133,68,23,147,3383610248.61328,236298.84509736,47000,95,19,22,6.8,2,21,3670,77
152,68,Ector,68,48135,69,6,132,3253686980.54688,228143.550721354,65600,82,32,17,6.6,6,21,2160,76
21,69,Edwards,69,48137,70,7,55,7345456453.84375,397493.208414222,40400,,25,18,6.1,2,24,1930,74
157,71,El Paso,71,48141,72,24,137,3646296133.35547,292823.95348999,48600,87,20,15,9.8,6,24,1030,73
105,70,Ellis,70,48139,71,18,158,3463841627.58984,267194.244544737,78300,93,26,17,8.3,4,19,1510,82
169,72,Erath,72,48143,73,2,149,3948259110.78516,255925.986107255,53000,92,26,19,7.2,3,21,990,80
123,73,Falls,73,48145,74,9,103,2750798877.27344,214101.336918036,41500,,20,22,8.2,4,21,8650,73
188,74,Fannin,74,48147,75,1,211,3365907545.33203,279123.183502557,56100,93,25,21,8.5,2,20,1010,80
19,75,Fayette,75,48149,76,13,53,3316479618.88281,241232.880463092,62200,93,23,19,7.8,2,20,3620,79
114,76,Fisher,76,48151,77,8,167,3315174541.76172,230236.672889512,51100,,21,18,6.3,2,20,,79
199,77,Floyd,77,48153,78,5,222,3756650391.57422,245576.664527889,45000,,23,19,6.2,6,23,,72
196,78,Foard,78,48155,79,25,219,2659839696.66406,284407.374193366,38600,,22,20,6.2,1,23,,78
9,79,Fort Bend,79,48157,80,12,43,3040344916.54297,296139.828350584,101400,94,18,12,10.1,3,13,1350,85
213,80,Franklin,80,48159,81,1,197,1093207849.98828,179594.988091097,50600,98,24,18,8.6,3,18,2680,83
143,81,Freestone,81,48161,82,17,123,3201956442.14063,298680.903057646,52500,97,26,21,8.4,2,21,6570,77
93,82,Frio,82,48163,83,15,26,3828290559.4375,248546.963656781,40400,94,21,19,7.2,10,22,3380,69
118,83,Gaines,83,48165,84,5,171,5517624862.97656,306697.303426617,67200,91,27,21,6.3,6,32,10750,73
6,84,Galveston,84,48167,85,12,40,2284224268.33594,333429.74250324,73200,92,26,18,6.7,3,17,870,81
183,85,Garza,85,48169,86,5,186,3322801520.64453,230001.499079532,49000,86,18,20,5.9,2,23,,72
30,86,Gillespie,86,48171,87,14,64,3701258793.49609,252208.199268632,62100,96,28,16,7,4,22,1080,82
150,87,Glasscock,87,48173,88,7,130,3244860836.83594,227893.186944054,93800,,19,18,6.1,3,20,,78
90,88,Goliad,88,48175,89,16,23,2901369502.33984,256877.453372445,56800,98,26,18,7.5,4,16,3830,79
8,89,Gonzales,89,48177,90,13,42,3669415671.08984,253256.410801979,48400,93,26,19,7.7,10,25,2980,73
246,90,Gray,90,48179,91,4,240,3632219546.95703,241077.281208178,52500,92,27,21,6,3,23,4380,76
190,91,Grayson,91,48181,92,1,213,3667681229.54297,291834.54166696,57400,93,35,19,8.8,3,21,780,81
