County,Median household income overall,White median household income,Black median household income,High. School graduation rate (2017-2018),Poor or fair health
Anderson,"48500 ","48700 ","43800 ",96,24
Andrews,"74900 ","82200 ","75300 ",95,23
Angelina,"51800 ","55900 ","45100 ",94,25
Aransas,"53100 ","52200 ","33100 ",93,23
Archer,"63700 ","67200 ","42700 ",96,17
Armstrong,"64400 ",,,,16
Atascosa,"57300 ","66300 ","50300 ",95,25
Austin,"68300 ","73700 ","60700 ",94,19
Bailey,"46200 ","75100 ","41200 ",98,26
Bandera,"59600 ","59100 ","56000 ",88,19
Bastrop,"62600 ","69100 ","62200 ",94,22
Baylor,"41500 ",,,,18
Bee,"44200 ","47400 ","41600 ",91,29
Bell,"54800 ","62700 ","49000 ",74,20
Bexar,"59000 ","73100 ","49500 ",90,22
Blanco,"68400 ","68700 ","51300 ",98,17
Borden,"71900 ","71900 ","77500 ",,14
Bosque,"55200 ","53700 ","40200 ",91,20
Bowie,"51200 ","55800 ","54700 ",95,21
Brazoria,"83700 ","85400 ","67600 ",94,18
Brazos,"54500 ","58300 ","41800 ",87,19
Brewster,"48600 ","52700 ","45000 ",94,20
Briscoe,"44300 ","45500 ","30800 ",,23
Brooks,"31400 ","31100 ","28100 ",93,36
Brown,"56000 ","48800 ","42500 ",95,21
Burleson,"61700 ","69100 ","58400 ",93,21
Burnet,"62800 ","60700 ","49100 ",94,19
Caldwell,"55300 ","55800 ","52200 ",91,26
Calhoun,"55900 ","65700 ","55700 ",93,24
Callahan,"50800 ","50500 ","41000 ",94,20
Cameron,"40900 ","53200 ","36200 ",92,34
Camp,"47100 ","53400 ","57800 ",98,24
Carson,"69800 ","75400 ","101700 ",,15
Cass,"44500 ","49000 ","32100 ",97,22
Castro,"51700 ","62700 ","41800 ",95,27
Chambers,"93400 ","96200 ","71700 ",98,19
Cherokee,"46600 ","53800 ","46500 ",91,25
Childress,"44100 ",,,,24
Clay,"60000 ","56000 ",,93,18
Cochran,"43700 ","50100 ","36600 ",,32
Coke,"48400 ","46400 ","39900 ",,21
Coleman,"44800 ","46700 ","48800 ",90,22
Collin,"96800 ","103700 ","66700 ",96,14
Collingsworth,"40300 ","52700 ","38000 ",,24
Colorado,"55600 ","56400 ","46100 ",87,22
Comal,"88000 ","85600 ","59500 ",95,16
Comanche,"54100 ","53300 ","53200 ",95,22
Concho,"43300 ","55600 ","32100 ",,28
Cooke,"61200 ","63500 ","51300 ",94,19
Coryell,"23100 ","54600 ","42800 ",93,21
Cottle,"40400 ","45900 ","31900 ",,28
Crane,"68600 ","81300 ","57200 ",93,23
Crockett,"54200 ","51200 ","42800 ",,24
Crosby,"38900 ","51300 ","35800 ",,29
Culberson,"44500 ",,,,36
Dallam,"55800 ","63100 ","55900 ",95,24
Dallas,"61800 ","81400 ","50600 ",84,23
Dawson,"48200 ","57100 ","27300 ",96,31
Deaf Smith,"46200 ","63400 ","46700 ",83,27
Delta,"51300 ","55400 ","90700 ",93,22
Denton,"90900 ","96900 ","64900 ",88,14
