County,% Physically inactive (2017),% Smoking (2018),Poor or fair health,,
Anderson,27%,22%,24%,,
Andrews,27%,17%,23%,,
Angelina,33%,20%,25%,,
Aransas,34%,20%,23%,,
Archer,18%,18%,17%,,
Armstrong,21%,17%,16%,,
Atascosa,36%,17%,25%,,
Austin,27%,17%,19%,,
Bailey,19%,18%,26%,,
Bandera,27%,18%,19%,,
Bastrop,27%,18%,22%,,
Baylor,25%,19%,18%,,
Bee,19%,20%,29%,,
Bell,24%,18%,20%,,
Bexar,21%,15%,22%,,
Blanco,24%,17%,17%,,
Borden,23%,14%,14%,,
Bosque,28%,20%,20%,,
Bowie,36%,20%,21%,,
Brazoria,32%,15%,18%,,
Brazos,19%,16%,19%,,
Brewster,22%,15%,20%,,
Briscoe,27%,19%,23%,,
Brooks,23%,19%,36%,,
Brown,31%,19%,21%,,
Burleson,27%,20%,21%,,
Burnet,25%,18%,19%,,
Caldwell,23%,19%,26%,,
Calhoun,22%,18%,24%,,
Callahan,27%,20%,20%,,
Cameron,25%,18%,34%,,
Camp,24%,20%,24%,,
Carson,22%,16%,15%,,
Cass,35%,22%,22%,,
Castro,21%,18%,27%,,
Chambers,25%,18%,19%,,
Cherokee,35%,21%,25%,,
Childress,18%,21%,24%,,
Clay,31%,19%,18%,,
Cochran,19%,21%,32%,,
Coke,24%,19%,21%,,
Coleman,25%,21%,22%,,
Collin,20%,12%,14%,,
Collingsworth,19%,20%,24%,,
Colorado,30%,19%,22%,,
Comal,22%,15%,16%,,
Comanche,25%,19%,22%,,
Concho,21%,19%,28%,,
Cooke,21%,19%,19%,,
Coryell,24%,20%,21%,,
Cottle,22%,23%,28%,,
Crane,18%,16%,23%,,
Crockett,24%,16%,24%,,
Crosby,20%,20%,29%,,
Culberson,21%,22%,36%,,
Dallam,24%,19%,24%,,
Dallas,23%,16%,23%,,
Dawson,24%,22%,31%,,
Deaf Smith,18%,17%,27%,,
Delta,21%,21%,22%,,
Denton,21%,13%,14%,,
DeWitt,32%,20%,24%,,
Dickens,19%,20%,24%,,
Dimmit,25%,19%,36%,,
Donley,21%,20%,20%,,
Duval,22%,19%,34%,,
Eastland,19%,22%,23%,,
Ector,32%,17%,24%,,
Edwards,25%,18%,26%,,
El Paso,20%,15%,27%,,
Ellis,26%,17%,18%,,
Erath,26%,19%,20%,,
Falls,20%,22%,27%,,
Fannin,25%,21%,20%,,
Fayette,23%,19%,21%,,
Fisher,21%,18%,21%,,
Floyd,23%,19%,28%,,
Foard,22%,20%,22%,,
Fort Bend,18%,12%,15%,,
Franklin,24%,18%,17%,,
Freestone,26%,21%,23%,,
Frio,21%,19%,31%,,
Gaines,27%,21%,27%,,
Galveston,26%,18%,19%,,
Garza,18%,20%,28%,,
Gillespie,28%,16%,18%,,
Glasscock,19%,18%,22%,,
Goliad,26%,18%,21%,,
Gonzales,26%,19%,27%,,
Gray,27%,21%,24%,,
Grayson,35%,19%,19%,,
Gregg,23%,20%,23%,,
Grimes,30%,21%,25%,,
Guadalupe,21%,15%,19%,,
Hale,27%,18%,26%,,
Hall,23%,24%,31%,,
Hamilton,24%,21%,22%,,
Hansford,22%,21%,27%,,
Hardeman,33%,21%,24%,,
Hardin,27%,21%,19%,,
Harris,22%,16%,22%,,
Harrison,34%,21%,22%,,
Hartley,22%,17%,18%,,
Haskell,33%,23%,27%,,
Hays,17%,15%,18%,,
Hemphill,22%,19%,22%,,
Henderson,32%,22%,22%,,
Hidalgo,24%,15%,33%,,
Hill,37%,20%,22%,,
Hockley,26%,19%,24%,,
Hood,25%,18%,17%,,
Hopkins,31%,21%,22%,,
Houston,32%,24%,27%,,
Howard,30%,19%,24%,,
Hudspeth,23%,21%,36%,,
Hunt,32%,21%,22%,,
Hutchinson,34%,20%,21%,,
Irion,21%,17%,18%,,
Jack,28%,22%,23%,,
Jackson,29%,18%,21%,,
