County, Physically inactive (2017), Smoking (2018),Poor or fair health
Anderson,27,22,76
Andrews,27,17,77
Angelina,33,20,75
Aransas,34,20,77
Archer,18,18,83
Armstrong,21,17,84
Atascosa,36,17,75
Austin,27,17,81
Bailey,19,18,74
Bandera,27,18,81
Bastrop,27,18,78
Baylor,25,19,82
Bee,19,20,71
Bell,24,18,80
Bexar,21,15,78
Blanco,24,17,83
Borden,23,14,86
Bosque,28,20,80
Bowie,36,20,79
Brazoria,32,15,82
Brazos,19,16,81
Brewster,22,15,80
Briscoe,27,19,77
Brooks,23,19,64
Brown,31,19,79
Burleson,27,20,79
Burnet,25,18,81
Caldwell,23,19,74
Calhoun,22,18,76
Callahan,27,20,80
Cameron,25,18,66
Camp,24,20,76
Carson,22,16,85
Cass,35,22,78
Castro,21,18,73
Chambers,25,18,81
Cherokee,35,21,75
Childress,18,21,76
Clay,31,19,82
Cochran,19,21,68
Coke,24,19,79
Coleman,25,21,78
Collin,20,12,86
Collingsworth,19,20,76
Colorado,30,19,78
Comal,22,15,84
Comanche,25,19,78
Concho,21,19,72
Cooke,21,19,81
Coryell,24,20,79
Cottle,22,23,72
Crane,18,16,77
Crockett,24,16,76
Crosby,20,20,71
Culberson,21,22,64
Dallam,24,19,76
Dallas,23,16,77
Dawson,24,22,69
Deaf Smith,18,17,73
Delta,21,21,78
Denton,21,13,86
DeWitt,32,20,76
Dickens,19,20,76
Dimmit,25,19,64
Donley,21,20,80
Duval,22,19,66
Eastland,19,22,77
Ector,32,17,76
Edwards,25,18,74
El Paso,20,15,73
Ellis,26,17,82
Erath,26,19,80
Falls,20,22,73
Fannin,25,21,80
Fayette,23,19,79
Fisher,21,18,79
Floyd,23,19,72
Foard,22,20,78
Fort Bend,18,12,85
Franklin,24,18,83
Freestone,26,21,77
Frio,21,19,69
Gaines,27,21,73
Galveston,26,18,81
Garza,18,20,72
Gillespie,28,16,82
Glasscock,19,18,78
Goliad,26,18,79
Gonzales,26,19,73
Gray,27,21,76
Grayson,35,19,81
Gregg,23,20,77
Grimes,30,21,75
Guadalupe,21,15,81
Hale,27,18,74
Hall,23,24,69
Hamilton,24,21,78
