County,Air pollution particulate matter (average daily PM2.5), Severe housing problems (2013-2017),Overcrowding,Poor or fair health
Anderson,8.5,14,4,76
Andrews,6.3,14,6,77
Angelina,9,17,5,75
Aransas,7.4,15,2,77
Archer,7.2,10,2,83
Armstrong,5.8,9,1,84
Atascosa,7.8,15,7,75
Austin,8.5,15,6,81
Bailey,5.9,19,10,74
Bandera,7.3,12,2,81
Bastrop,8.1,17,6,78
Baylor,6.5,6,0,82
Bee,7.7,16,6,71
Bell,8.3,15,3,80
Bexar,7.9,18,4,78
Blanco,7.3,15,4,83
Borden,6,4,0,86
Bosque,7.9,13,4,80
Bowie,9.2,15,3,79
Brazoria,9.7,13,4,82
Brazos,8.4,26,4,81
Brewster,5.7,17,3,80
Briscoe,5.9,11,4,77
Brooks,7.3,23,5,64
Brown,6.8,11,1,79
Burleson,8,12,5,79
Burnet,7.4,13,2,81
Caldwell,8,17,6,74
Calhoun,7.5,17,9,76
Callahan,6.5,12,1,80
Cameron,9.5,24,11,66
Camp,8.7,15,4,76
Carson,6,4,1,85
Cass,9.1,13,3,78
Castro,6.3,12,5,73
Chambers,8.5,15,2,81
Cherokee,8.8,17,7,75
Childress,6.2,15,0,76
Clay,7.4,11,2,82
Cochran,5.9,16,8,68
Coke,6.2,11,1,79
Coleman,6.5,13,1,78
Collin,9.3,13,2,86
Collingsworth,6,12,4,76
Colorado,7.9,10,4,78
Comal,8.3,13,3,84
Comanche,7,14,4,78
Concho,6.2,10,0,72
Cooke,8.5,12,3,81
Coryell,7.8,12,3,79
Cottle,6,8,2,72
Crane,6.2,14,5,77
Crockett,6.2,16,6,76
Crosby,6.3,14,6,71
Culberson,5.5,16,5,64
Dallam,5.4,10,4,76
Dallas,8.8,21,7,77
Dawson,6.1,11,2,69
Deaf Smith,6.1,13,4,73
Delta,8.2,14,1,78
Denton,9.4,14,2,86
DeWitt,7.7,14,6,76
Dickens,5.9,11,3,76
Dimmit,6.9,18,9,64
Donley,5.9,13,3,80
Duval,7.2,19,7,66
Eastland,6.8,9,2,77
Ector,6.6,16,6,76
Edwards,6.1,15,2,74
El Paso,9.8,18,6,73
Ellis,8.3,14,4,82
Erath,7.2,21,3,80
Falls,8.2,16,4,73
Fannin,8.5,13,2,80
Fayette,7.8,10,2,79
Fisher,6.3,8,2,79
Floyd,6.2,14,6,72
Foard,6.2,7,1,78
Fort Bend,10.1,14,3,85
Franklin,8.6,17,3,83
Freestone,8.4,13,2,77
Frio,7.2,18,10,69
Gaines,6.3,11,6,73
Galveston,6.7,15,3,81
Garza,5.9,5,2,72
Gillespie,7,17,4,82
Glasscock,6.1,8,3,78
Goliad,7.5,9,4,79
Gonzales,7.7,20,10,73
Gray,6,13,3,76
Grayson,8.8,14,3,81
Gregg,9.2,17,3,77
Grimes,8.7,15,4,75
Guadalupe,8.5,12,3,81
Hale,6.5,17,6,74
Hall,5.9,15,3,69
Hamilton,7.1,13,2,78
Hansford,6,12,4,73
Hardeman,6.3,9,2,76
Hardin,8.6,13,2,81
Harris,10.1,20,6,78
Harrison,8.6,14,4,78
Hartley,5.3,13,4,82
Haskell,6.4,12,3,73
Hays,8.2,20,4,82
Hemphill,5.9,9,4,78
Henderson,8.7,14,3,78
Hidalgo,10.4,26,12,67
Hill,8.5,16,5,78
Hockley,6.4,12,5,76
Hood,8,13,3,83
