County,Uninsured,Mental health providers 2020 - ratio of pop to providers,Poor or fair health,,
Anderson,20,"2310",24,,
Andrews,21,"6240",23,,
Angelina,21,"730:01",25,,
Aransas,24,"1240",23,,
Archer,16,,17,,
Armstrong,17,,16,,
Atascosa,20,"2560",25,,
Austin,20,"2500",19,,
Bailey,29,"3500",26,,
Bandera,22,"1160",19,,
Bastrop,22,"1740",22,,
Baylor,17,,18,,
Bee,18,"270",29,,
Bell,,"15440",20,,
Bexar,,"18530",22,,
Blanco,22,"11930",17,,
Borden,,"11650",14,,
Bosque,23,"4670",20,,
Bowie,,"15950",21,,
Brazoria,16,"1400",18,,
Brazos,17,"1020",19,,
Brewster,,"20770",20,,
Briscoe,27,,23,,
Brooks,18,"7090",36,,
Brown,,"18550",21,,
Burleson,20,"18440",21,,
Burnet,23,"150",19,,
Caldwell,22,"1280",26,,
Calhoun,19,"5320",24,,
Callahan,19,"6970",20,,
Cameron,30,"1640",34,,
Camp,21,"2180",24,,
Carson,15,,15,,
Cass,17,"3750",22,,
Castro,29,"7530",27,,
Chambers,15,"3990",19,,
Cherokee,22,"1070",25,,
Childress,21,"1040",24,,
Clay,19,,18,,
Cochran,27,,32,,
Coke,17,,21,,
Coleman,24,"8180",22,,
Collin,,"13810",14,,
Collingsworth,30,"2920",24,,
Colorado,22,"5370",22,,
Comal,,"15770",16,,
Comanche,25,"2270",22,,
Concho,20,"2730",28,,
Cooke,20,"1650",19,,
Coryell,15,"1950",21,,
Cottle,25,,28,,
Crane,20,,23,,
Crockett,22,,24,,
Crosby,20,,29,,
Culberson,25,,36,,
Dallam,30,"2430",24,,
Dallas,,"24640",23,,
Dawson,24,"12730",31,,
Deaf Smith,26,"18550",27,,
Delta,17,"1780",22,,
Denton,,"13840",14,,
DeWitt,18,"6720",24,,
Dickens,22,"2210",24,,
Dimmit,21,"3370",36,,
Donley,20,,20,,
Duval,20,"11160",34,,
Eastland,21,"3670",23,,
Ector,21,"2160",24,,
Edwards,24,"1930",26,,
El Paso,24,"1030",27,,
Ellis,19,"1510",18,,
Erath,,"21990",20,,
Falls,21,"8650",27,,
Fannin,20,"1010",20,,
Fayette,20,"3620",21,,
Fisher,20,,21,,
Floyd,23,,28,,
Foard,23,,22,,
Fort Bend,13,"1350",15,,
Franklin,18,"2680",17,,
Freestone,21,"6570",23,,
Frio,22,"3380",31,,
Gaines,32,"10750",27,,
Galveston,,"17870",19,,
Garza,23,,28,,
Gillespie,22,"1080",18,,
Glasscock,20,,22,,
Goliad,16,"3830",21,,
Gonzales,25,"2980",27,,
Gray,23,"4380",24,,
Grayson,,"21780",19,,
Gregg,,"21600",23,,
Grimes,22,"7220",25,,
Guadalupe,15,"3340",19,,
Hale,,"22780",26,,
Hall,28,,31,,
Hamilton,23,"1210",22,,
Hansford,28,"2700",27,,
Hardeman,26,"1310",24,,
Hardin,15,"2500",19,,
Harris,,"23800",22,,
Harrison,19,"2890",22,,
