"County,Median household income overall,High. School graduation rate (2017-2018),Poor or fair health"								Poor or fair health
"Anderson,48500,96,76"								76
"Andrews,74900,95,77"								77
"Angelina,51800,94,75"								75
"Aransas,53100,93,77"								77
"Archer,63700,96,83"								83
"Armstrong,64400,,84"								84
"Atascosa,57300,95,75"								75
"Austin,68300,94,81"								81
"Bailey,46200,98,74"								74
"Bandera,59600,88,81"								81
"Bastrop,62600,94,78"								78
"Baylor,41500,,82"								82
"Bee,44200,91,71"								71
"Bell,54800,74,80"								80
"Bexar,59000,90,78"								78
"Blanco,68400,98,83"								83
"Borden,71900,,86"								86
"Bosque,55200,91,80"								80
"Bowie,51200,95,79"								79
"Brazoria,83700,94,82"								82
"Brazos,54500,87,81"								81
"Brewster,48600,94,80"								80
"Briscoe,44300,,77"								77
"Brooks,31400,93,64"								64
"Brown,56000,95,79"								79
"Burleson,61700,93,79"								79
"Burnet,62800,94,81"								81
"Caldwell,55300,91,74"								74
"Calhoun,55900,93,76"								76
"Callahan,50800,94,80"								80
"Cameron,40900,92,66"								66
"Camp,47100,98,76"								76
"Carson,69800,,85"								85
"Cass,44500,97,78"								78
"Castro,51700,95,73"								73
"Chambers,93400,98,81"								81
"Cherokee,46600,91,75"								75
"Childress,44100,,76"								76
"Clay,60000,93,82"								82
"Cochran,43700,,68"								68
"Coke,48400,,79"								79
"Coleman,44800,90,78"								78
"Collin,96800,96,86"								86
"Collingsworth,40300,,76"								76
"Colorado,55600,87,78"								78
"Comal,88000,95,84"								84
"Comanche,54100,95,78"								78
"Concho,43300,,72"								72
"Cooke,61200,94,81"								81
"Coryell,23100,93,79"								79
"Cottle,40400,,72"								72
"Crane,68600,93,77"								77
"Crockett,54200,,76"								76
"Crosby,38900,,71"								71
"Culberson,44500,,64"								64
"Dallam,55800,95,76"								76
"Dallas,61800,84,77"								77
"Dawson,48200,96,69"								69
"Deaf Smith,46200,83,73"								73
"Delta,51300,93,78"								78
"Denton,90900,88,86"								86
"DeWitt,52500,96,76"								76
"Dickens,42000,,76"								76
"Dimmit,40300,93,64"								64
"Donley,41100,,80"								80
"Duval,37100,91,66"								66
"Eastland,47000,95,77"								77
"Ector,65600,82,76"								76
"Edwards,40400,,74"								74
"El Paso,48600,87,73"								73
"Ellis,78300,93,82"								82
"Erath,53000,92,80"								80
"Falls,41500,,73"								73
"Fannin,56100,93,80"								80
